disease,symptoms,symptom_count,remedy_1,remedy_2,risk_level,recommendation,data_note
Fungal infection,"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",4,Wash with soap and water,Use coconut oil,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Allergy,"continuous_sneezing, shivering, chills, watering_from_eyes",4,Use oral Antihistamines,Use Cortocosteroid nasal sprays,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
GERD,"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain",6,Use antacids tablets,Eat smaller meals,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Chronic cholestasis,"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",7,Immediately consult a doctor,,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Drug Reaction,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination",5,Don’t consume the drug anymore,Meet clinician,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Peptic ulcer diseae,"vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching",6,Use multivitamin tablets,Avoid alcohol,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
AIDS,"muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts",4,Never share needles,Take medicine daily to prevent HIV,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Diabetes,"fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria",10,Eat healthy,Exercise 5 days a week,Medium,Book a GP/doctor consultation and monitor symptoms closely.,Prototype education dataset; not clinically validated.
Gastroenteritis,"vomiting, sunken_eyes, dehydration, diarrhoea",4,Drink plenty of fluids to avoid dehydration,Take Paracetemol,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Bronchial Asthma,"fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum",6,Oxygen therapy,Quit tobacco,Medium,Book a GP/doctor consultation and monitor symptoms closely.,Prototype education dataset; not clinically validated.
Hypertension,"headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration",5,Physical exercise,Stress management,Medium,Book a GP/doctor consultation and monitor symptoms closely.,Prototype education dataset; not clinically validated.
Migraine,"acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances",9,Avoid migrane triggers,Drink caffeinated fuilds,Medium,Book a GP/doctor consultation and monitor symptoms closely.,Prototype education dataset; not clinically validated.
Cervical spondylosis,"back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance",5,Icepacks,Warm compress,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Paralysis (brain hemorrhage),"vomiting, headache, weakness_of_one_body_side, altered_sensorium",4,Don't smoke,Avoid cold food,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain",8,Take sunlight,Look for high fiber foods,Medium,Book a GP/doctor consultation and monitor symptoms closely.,Prototype education dataset; not clinically validated.
Malaria,"chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain",8,Prefer citrus food,Use ginger,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body",11,Avoid itching,Use calamine lotion,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Dengue,"skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, malaise, muscle_pain, red_spots_over_body",14,Sleep,Drink plenty of water,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Typhoid,"chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain",11,Consume cooked vegetables,Take light food,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
hepatitis A,"joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain",11,Eat less to help nausea and vomiting,Use gloves while treating the body,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Hepatitis B,"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",12,Use antiviral medications prescribed by doctor,,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Hepatitis C,"fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history",6,Use direct acting antiviral tablets,,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Hepatitis D,"joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",9,Avoid sharing drug equipment,,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Hepatitis E,"joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, acute_liver_failure, coma, stomach_bleeding",13,"Get rest,give nutrients and fluids to the body",Try to be in contact with physician,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Alcoholic hepatitis,"vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption, fluid_overload",7,Drink in moderation,,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Tuberculosis,"chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",16,Be in good ventilation area,Be hygienic,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Common Cold,"continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",17,Sip warm liquids,Rest,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Pneumonia,"chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum",11,Drink fluids,,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Dimorphic hemmorhoids(piles),"constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus",5,Exercise regularly,Keep your bottom clean and dry,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Heart attack,"vomiting, breathlessness, sweating, chest_pain",4,"Make person sit down,rest and keep calm",loosen any tight clothing,High,"Seek medical attention promptly, especially if symptoms are severe, worsening, or persistent.",Prototype education dataset; not clinically validated.
Varicose veins,"fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf",7,Avoid high heels and tight hosiery,Change stting and standing position regularly,Medium,Book a GP/doctor consultation and monitor symptoms closely.,Prototype education dataset; not clinically validated.
Hypothyroidism,"fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",13,Daily use of synthetic thyroid harmone levothyroxine,,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Hyperthyroidism,"fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation",11,Antithyroid drugs,Beta blockers,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Hypoglycemia,"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations",12,Eat or drink 15 to 20 gr of fast acting carbohydrates,Recheck blood sugar levels,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Osteoarthristis,"joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking",6,Lose weight,Stay active,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Arthritis,"muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking",5,Be energitic,Protect your joints,Medium,Book a GP/doctor consultation and monitor symptoms closely.,Prototype education dataset; not clinically validated.
(vertigo) Paroymsal  Positional Vertigo,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness",6,Sit or lie down when you feel dizzy,"Avoid alcohol,salt and tobacco",Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Acne,"skin_rash, pus_filled_pimples, blackheads, scurring",4,Wash problem areas with gente cleanser,Protect your skin from sun,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Urinary tract infection,"burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine",4,Take antibiotics,,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Psoriasis,"skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails",6,Salt baths,Use turmeric,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
Impetigo,"skin_rash, high_fever, blister, red_sore_around_nose",4,Use prescribed antibiotic creams,,Low,Use basic self-care guidance and consult a doctor if symptoms continue or worsen.,Prototype education dataset; not clinically validated.
